id,name,average,usersrated,number of comments,complexity votes,average complexity,year published,min player number,max player number,min play time,max play time,expected play time,minimum age limit,category,mechanism,game designer,publisher,url,bag of words
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.63105,21406,4068,669,2.6652,1982,1,8,60,120,120,13,novel-based post-napoleonic spies/secret_agents murder/mystery deduction,cooperative_game solo_/_solitaire_game storytelling deduction narrative_choice_/_paragraph,gary_grady suzanne_goldberg raymond_edwards,"kaissa_chess_&_games edge_entertainment international_team_(i) ystari_games space_cowboys rawstone 二見書房_(_futami_shobo_publishing_co.,_ltd._) lord_of_boards angry_lion_games casper galápagos_jogos kosmos chessex sleuth_publications äventyrsspel ben_sanders_co. crowd_games asterion_press descartes_editeur",https://boardgamegeek.com/xmlapi2/thing?id=2511&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"novel-based post-napoleonic spies/secret_agents murder/mystery deduction cooperative_game solo_/_solitaire_game storytelling deduction narrative_choice_/_paragraph gary_grady suzanne_goldberg raymond_edwards kaissa_chess_&_games edge_entertainment international_team_(i) ystari_games space_cowboys rawstone 二見書房_(_futami_shobo_publishing_co.,_ltd._) lord_of_boards angry_lion_games casper galápagos_jogos kosmos chessex sleuth_publications äventyrsspel ben_sanders_co. crowd_games asterion_press descartes_editeur"
371942,The White Castle,7.98024,8103,1308,417,3.0336,2023,1,4,80,80,80,12,economic dice,worker_placement_with_dice_workers action_drafting worker_placement solo_/_solitaire_game multi-use_cards dice_rolling open_drafting variable_set-up,isra_c. shei_s.,cmon_global_limited tlama_games portal_games banana_games devir iello games4you kosmos reflexshop games7days gaga_games 999_games,https://boardgamegeek.com/xmlapi2/thing?id=371942&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,economic dice worker_placement_with_dice_workers action_drafting worker_placement solo_/_solitaire_game multi-use_cards dice_rolling open_drafting variable_set-up isra_c. shei_s. cmon_global_limited tlama_games portal_games banana_games devir iello games4you kosmos reflexshop games7days gaga_games 999_games
328871,Terraforming Mars: Ares Expedition,7.67802,17312,2879,437,2.9268,2021,1,4,45,60,60,14,space_exploration card_game science_fiction,variable_player_powers simultaneous_action_selection hand_management follow variable_set-up end_game_bonuses solo_/_solitaire_game tech_trees_/_tech_tracks set_collection variable_phase_order tags income,jacob_fryxelius sydney_engelstein nick_little_(i),fryxgames board_game_rookie arclight_games intrafin_games mipl schwerkraft-verlag stronghold_games lavka_games kilogames korea_boardgames rebel_sp._z_o.o. maldito_games reflexshop lex_games surfin'_meeple_china ghenos_games mindok meeplebr,https://boardgamegeek.com/xmlapi2/thing?id=328871&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,space_exploration card_game science_fiction variable_player_powers simultaneous_action_selection hand_management follow variable_set-up end_game_bonuses solo_/_solitaire_game tech_trees_/_tech_tracks set_collection variable_phase_order tags income jacob_fryxelius sydney_engelstein nick_little_(i) fryxgames board_game_rookie arclight_games intrafin_games mipl schwerkraft-verlag stronghold_games lavka_games kilogames korea_boardgames rebel_sp._z_o.o. maldito_games reflexshop lex_games surfin'_meeple_china ghenos_games mindok meeplebr
34635,Stone Age,7.52516,52817,8799,3068,2.4606,2008,2,4,60,90,90,10,economic dice prehistoric,worker_placement end_game_bonuses contracts turn_order:_progressive set_collection dice_rolling,bernd_brunnhofer,"swan_panasia_co.,_ltd. feelindigo z-man_games kaissa_chess_&_games hakubia devir bard_centrum_gier lanlalen mindok filosofia_éditions 999_games oxygame piatnik korea_boardgames hans_im_glück boardgame_space hobby_world rio_grande_games zvezda stupor_mundi asmodee schmidt_spiele giochi_uniti lautapelit.fi",https://boardgamegeek.com/xmlapi2/thing?id=34635&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"economic dice prehistoric worker_placement end_game_bonuses contracts turn_order:_progressive set_collection dice_rolling bernd_brunnhofer swan_panasia_co.,_ltd. feelindigo z-man_games kaissa_chess_&_games hakubia devir bard_centrum_gier lanlalen mindok filosofia_éditions 999_games oxygame piatnik korea_boardgames hans_im_glück boardgame_space hobby_world rio_grande_games zvezda stupor_mundi asmodee schmidt_spiele giochi_uniti lautapelit.fi"
233398,Endeavor: Age of Sail,7.8855,9390,2074,263,2.8403,2018,2,5,60,90,90,13,nautical renaissance exploration,tech_trees_/_tech_tracks area_majority_/_influence point_to_point_movement set_collection open_drafting,carl_de_visser jarratt_gray,17wanzy_(yihu_bg) board_game_circus super_meeple ludofy_creative frosted_games czacha_games crowd_games grand_gamers_guild reflexshop burnt_island_games maldito_games cranio_creations hobby_game_mall,https://boardgamegeek.com/xmlapi2/thing?id=233398&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,nautical renaissance exploration tech_trees_/_tech_tracks area_majority_/_influence point_to_point_movement set_collection open_drafting carl_de_visser jarratt_gray 17wanzy_(yihu_bg) board_game_circus super_meeple ludofy_creative frosted_games czacha_games crowd_games grand_gamers_guild reflexshop burnt_island_games maldito_games cranio_creations hobby_game_mall
77423,The Lord of the Rings: The Card Game,7.66291,24190,4815,1462,3.21,2011,1,2,30,60,60,13,novel-based card_game collectible_components adventure fantasy,cooperative_game hand_management deck_construction events scenario_/_mission_/_campaign_game solo_/_solitaire_game player_elimination variable_set-up,nate_french,galakta heidelberger_spieleverlag giochi_uniti game_harbor edge_entertainment galápagos_jogos stratelibri adc_blackfire_entertainment fantasy_flight_games,https://boardgamegeek.com/xmlapi2/thing?id=77423&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,novel-based card_game collectible_components adventure fantasy cooperative_game hand_management deck_construction events scenario_/_mission_/_campaign_game solo_/_solitaire_game player_elimination variable_set-up nate_french galakta heidelberger_spieleverlag giochi_uniti game_harbor edge_entertainment galápagos_jogos stratelibri adc_blackfire_entertainment fantasy_flight_games
463,Magic: The Gathering,7.5752,39817,7851,2337,3.2657,1993,2,2,20,20,20,13,fighting fantasy card_game collectible_components,closed_drafting hand_management betting_and_bluffing deck_construction take_that tags player_elimination interrupts income,richard_garfield,wizards_of_the_coast,https://boardgamegeek.com/xmlapi2/thing?id=463&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,fighting fantasy card_game collectible_components closed_drafting hand_management betting_and_bluffing deck_construction take_that tags player_elimination interrupts income richard_garfield wizards_of_the_coast
268864,Undaunted: Normandy,7.803,11717,1809,312,2.2404,2019,2,2,45,60,60,14,world_war_ii wargame,"hand_management deck,_bag,_and_pool_building simulation modular_board dice_rolling open_drafting",trevor_benjamin david_thompson_(i),17wanzy_(yihu_bg) ogry_games lord_of_boards doit_games giant_roc korea_boardgames ghenos_games mindok nuts!_publishing meeplebr gaga_games osprey_games,https://boardgamegeek.com/xmlapi2/thing?id=268864&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"world_war_ii wargame hand_management deck,_bag,_and_pool_building simulation modular_board dice_rolling open_drafting trevor_benjamin david_thompson_(i) 17wanzy_(yihu_bg) ogry_games lord_of_boards doit_games giant_roc korea_boardgames ghenos_games mindok nuts!_publishing meeplebr gaga_games osprey_games"
146652,Legendary Encounters: An Alien Deck Building Game,7.75751,13196,2402,488,2.7029,2014,1,5,30,60,60,17,card_game horror movies_/_tv_/_radio_theme fighting science_fiction,"team-based_game variable_player_powers cooperative_game deck,_bag,_and_pool_building hidden_roles events delayed_purchase solo_/_solitaire_game traitor_game open_drafting player_elimination",ben_cichoski daniel_mandel,upper_deck_entertainment,https://boardgamegeek.com/xmlapi2/thing?id=146652&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"card_game horror movies_/_tv_/_radio_theme fighting science_fiction team-based_game variable_player_powers cooperative_game deck,_bag,_and_pool_building hidden_roles events delayed_purchase solo_/_solitaire_game traitor_game open_drafting player_elimination ben_cichoski daniel_mandel upper_deck_entertainment"
283948,Marco Polo II: In the Service of the Khan,7.96598,7259,951,262,3.3779,2019,2,4,60,120,120,12,economic travel dice medieval,variable_player_powers worker_placement_with_dice_workers resource_to_move worker_placement contracts point_to_point_movement dice_rolling,simone_luciani daniele_tascini,"swan_panasia_co.,_ltd. z-man_games arclight_games albi_polska giochi_uniti devir korea_boardgames hans_im_glück hobby_world 999_games albi",https://boardgamegeek.com/xmlapi2/thing?id=283948&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"economic travel dice medieval variable_player_powers worker_placement_with_dice_workers resource_to_move worker_placement contracts point_to_point_movement dice_rolling simone_luciani daniele_tascini swan_panasia_co.,_ltd. z-man_games arclight_games albi_polska giochi_uniti devir korea_boardgames hans_im_glück hobby_world 999_games albi"
296151,Viscounts of the West Kingdom,7.84247,9668,1505,425,3.4565,2020,1,4,60,90,90,12,medieval,"variable_player_powers hand_management deck,_bag,_and_pool_building end_game_bonuses solo_/_solitaire_game area_majority_/_influence modular_board rondel king_of_the_hill set_collection",s_j_macdonald shem_phillips,fever_games cmon_global_limited lord_of_boards meeple mosaico_jogos primigenio renegade_game_studios schwerkraft-verlag tlama_games white_goblin_games lavka_games portal_games reflexshop garphill_games pixie_games 株式会社ケンビル_(kenbill) banana_games yayoi_the_dreamer,https://boardgamegeek.com/xmlapi2/thing?id=296151&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"medieval variable_player_powers hand_management deck,_bag,_and_pool_building end_game_bonuses solo_/_solitaire_game area_majority_/_influence modular_board rondel king_of_the_hill set_collection s_j_macdonald shem_phillips fever_games cmon_global_limited lord_of_boards meeple mosaico_jogos primigenio renegade_game_studios schwerkraft-verlag tlama_games white_goblin_games lavka_games portal_games reflexshop garphill_games pixie_games 株式会社ケンビル_(kenbill) banana_games yayoi_the_dreamer"
103885,Star Wars: X-Wing Miniatures Game,7.63487,25019,4097,1154,2.4957,2012,2,2,30,45,45,14,collectible_components miniatures bluffing wargame movies_/_tv_/_radio_theme aviation_/_flight science_fiction,variable_player_powers movement_template simultaneous_action_selection line_of_sight critical_hits_and_failures simulation dice_rolling action_queue player_elimination,jay_little,peliko_oy wargames_club_publishing cutia.ro galakta heidelberger_spieleverlag martinex giochi_uniti korea_boardgames edge_entertainment galápagos_jogos stratelibri hobby_world fantasy_flight_games,https://boardgamegeek.com/xmlapi2/thing?id=103885&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,collectible_components miniatures bluffing wargame movies_/_tv_/_radio_theme aviation_/_flight science_fiction variable_player_powers movement_template simultaneous_action_selection line_of_sight critical_hits_and_failures simulation dice_rolling action_queue player_elimination jay_little peliko_oy wargames_club_publishing cutia.ro galakta heidelberger_spieleverlag martinex giochi_uniti korea_boardgames edge_entertainment galápagos_jogos stratelibri hobby_world fantasy_flight_games
265188,Glen More II: Chronicles,7.90213,8231,1349,299,3.0134,2019,2,4,90,120,120,12,economic city_building territory_building farming,market grid_movement commodity_speculation tile_placement turn_order:_time_track set_collection,matthias_cramer,super_meeple gateongames engames delirium_games funtails lavka_games korea_boardgames rebel_sp._z_o.o. broadway_toys_ltd,https://boardgamegeek.com/xmlapi2/thing?id=265188&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,economic city_building territory_building farming market grid_movement commodity_speculation tile_placement turn_order:_time_track set_collection matthias_cramer super_meeple gateongames engames delirium_games funtails lavka_games korea_boardgames rebel_sp._z_o.o. broadway_toys_ltd
148949,Istanbul,7.54324,31386,4579,1125,2.5822,2014,2,5,40,60,60,10,economic,network_and_route_building pick-up_and_deliver worker_placement race contracts modular_board grid_movement dice_rolling variable_set-up,rüdiger_dorn,"swan_panasia_co.,_ltd. piatnik white_goblin_games alderac_entertainment_group portal_games 2_pionki hobby_japan devir matagot asterion_press pegasus_spiele grow_jogos_e_brinquedos hobby_world lex_games albi",https://boardgamegeek.com/xmlapi2/thing?id=148949&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"economic network_and_route_building pick-up_and_deliver worker_placement race contracts modular_board grid_movement dice_rolling variable_set-up rüdiger_dorn swan_panasia_co.,_ltd. piatnik white_goblin_games alderac_entertainment_group portal_games 2_pionki hobby_japan devir matagot asterion_press pegasus_spiele grow_jogos_e_brinquedos hobby_world lex_games albi"
249259,War Chest,7.85185,10050,1564,252,2.3016,2018,2,4,30,30,30,14,abstract_strategy medieval wargame,"team-based_game variable_player_powers hand_management deck,_bag,_and_pool_building delayed_purchase area_majority_/_influence hexagon_grid turn_order:_claim_action grid_movement",trevor_benjamin david_thompson_(i),nostalgia_(iii) gigamic popcorn_games schwerkraft-verlag alderac_entertainment_group crowd_games yoka_games lucky_duck_games maldito_games mts_games ghenos_games abraxas,https://boardgamegeek.com/xmlapi2/thing?id=249259&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"abstract_strategy medieval wargame team-based_game variable_player_powers hand_management deck,_bag,_and_pool_building delayed_purchase area_majority_/_influence hexagon_grid turn_order:_claim_action grid_movement trevor_benjamin david_thompson_(i) nostalgia_(iii) gigamic popcorn_games schwerkraft-verlag alderac_entertainment_group crowd_games yoka_games lucky_duck_games maldito_games mts_games ghenos_games abraxas"
240980,Blood on the Clocktower,8.3379,5441,1271,206,3.034,2022,6,20,30,120,120,15,party_game bluffing horror murder/mystery deduction,team-based_game variable_player_powers hidden_roles betting_and_bluffing roles_with_asymmetric_information negotiation voting rock-paper-scissors prisoner's_dilemma deduction,steven_medway,funtails bumble3ee_interactive the_pandemonium_institute,https://boardgamegeek.com/xmlapi2/thing?id=240980&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,party_game bluffing horror murder/mystery deduction team-based_game variable_player_powers hidden_roles betting_and_bluffing roles_with_asymmetric_information negotiation voting rock-paper-scissors prisoner's_dilemma deduction steven_medway funtails bumble3ee_interactive the_pandemonium_institute
244522,That's Pretty Clever!,7.57229,24480,3349,573,1.8656,2018,1,4,30,30,30,8,number dice,paper-and-pencil solo_/_solitaire_game highest-lowest_scoring re-rolling_and_locking dice_rolling,wolfgang_warsch,"yellowbox swan_panasia_co.,_ltd. brain_games compaya.hu:_gamer_café_kft. arclight_games kaissa_chess_&_games schmidt_spiele stronghold_games lavka_games devir korea_boardgames g3 cmyk lautapelit.fi vennerød_forlag_as 999_games",https://boardgamegeek.com/xmlapi2/thing?id=244522&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,"number dice paper-and-pencil solo_/_solitaire_game highest-lowest_scoring re-rolling_and_locking dice_rolling wolfgang_warsch yellowbox swan_panasia_co.,_ltd. brain_games compaya.hu:_gamer_café_kft. arclight_games kaissa_chess_&_games schmidt_spiele stronghold_games lavka_games devir korea_boardgames g3 cmyk lautapelit.fi vennerød_forlag_as 999_games"
82222,Xia: Legends of a Drift System,7.85909,10027,2262,375,3.176,2014,3,5,60,180,180,12,space_exploration adventure fighting transportation exploration science_fiction,variable_player_powers pick-up_and_deliver roll_/_spin_and_move action_points race modular_board tile_placement grid_movement dice_rolling map_addition,cody_miller,maldito_games far_off_games lavka_games,https://boardgamegeek.com/xmlapi2/thing?id=82222&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,space_exploration adventure fighting transportation exploration science_fiction variable_player_powers pick-up_and_deliver roll_/_spin_and_move action_points race modular_board tile_placement grid_movement dice_rolling map_addition cody_miller maldito_games far_off_games lavka_games
233867,Welcome To...,7.53551,30954,4065,600,1.8367,2018,1,100,25,25,25,10,city_building,simultaneous_action_selection paper-and-pencil solo_/_solitaire_game bingo contracts pattern_building,benoit_turpin,dude_games kaissa_chess_&_games deep_water_games gém_klub_kft. pegasus_spiele jumping_turtle_games sternenschimmermeer engames rebel_sp._z_o.o. broadway_toys_ltd fever_games lord_of_boards ludofy_creative sd_games rexhry blue_cocker_games gateongames lautapelit.fi lifestyle_boardgames_ltd,https://boardgamegeek.com/xmlapi2/thing?id=233867&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1,city_building simultaneous_action_selection paper-and-pencil solo_/_solitaire_game bingo contracts pattern_building benoit_turpin dude_games kaissa_chess_&_games deep_water_games gém_klub_kft. pegasus_spiele jumping_turtle_games sternenschimmermeer engames rebel_sp._z_o.o. broadway_toys_ltd fever_games lord_of_boards ludofy_creative sd_games rexhry blue_cocker_games gateongames lautapelit.fi lifestyle_boardgames_ltd
